ID,GEO Region,Country
1,Americas,Canada
2,Americas,Guam
3,Americas,USA
4,APAC,Australia
5,APAC,Bangladesh
6,APAC,China
7,APAC,Hong Kong
8,APAC,India
9,APAC,Indonesia
10,APAC,Macau
11,APAC,Malaysia
12,APAC,Mauritius
13,APAC,Nepal
14,APAC,New Zealand
15,APAC,Philippines
16,APAC,Singapore
17,APAC,South Korea
18,APAC,Sri Lanka
19,APAC,Taiwan
20,APAC,Thailand
21,APAC,Vietnam
22,EMEA,Albania
23,EMEA,Armenia
24,EMEA,Austria
25,EMEA,Azerbaijan
26,EMEA,Bahrain
27,EMEA,Belgium
28,EMEA,Bosnia-Herz.
29,EMEA,Bulgaria
30,EMEA,Cyprus
31,EMEA,Czech Republic
32,EMEA,Egypt
33,EMEA,France
34,EMEA,Georgia
35,EMEA,Germany
36,EMEA,Greece
37,EMEA,Hungary
38,EMEA,Iraq
39,EMEA,Israel
40,EMEA,Italy
41,EMEA,Jordan
42,EMEA,Kuwait
43,EMEA,Latvia
44,EMEA,Lithuania
45,EMEA,Malta
46,EMEA,Moldova
47,EMEA,Netherlands
48,EMEA,Nigeria
49,EMEA,Oman
50,EMEA,Pakistan
51,EMEA,Poland
52,EMEA,Portugal
53,EMEA,Qatar
54,EMEA,Romania
55,EMEA,Russian Fed.
56,EMEA,Saudi Arabia
57,EMEA,Serbia/Monten.
58,EMEA,Slovenia
59,EMEA,South Africa
60,EMEA,Spain
61,EMEA,Sweden
62,EMEA,Switzerland
63,EMEA,Tajikistan
64,EMEA,Turkey
65,EMEA,Ukraine
66,EMEA,United Kingdom
67,EMEA,Utd.Arab Emir.
68,EMEA,Uzbekistan
